Symbol,Name,MarketCap,Sector,Industry
ALC,Alcon Inc.,26035706000.0,Health Care,Ophthalmic Goods
ALCO,"Alico, Inc.",208608024.2,Consumer Non-Durables,Farming/Seeds/Milling
ALDX,"Aldeyra Therapeutics, Inc.",81867465.0,Health Care,Major Pharmaceuticals
ALE,"Allete, Inc.",2830678549.0,Public Utilities,Power Generation
ALEC,"Alector, Inc.",1984300920.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,"Alexander & Baldwin, Inc.",786694807.0,Consumer Services,Real Estate Investment Trusts
ALG,"Alamo Group, Inc.",1059694253.0,Capital Goods,Industrial Machinery/Components
ALGN,"Align Technology, Inc.",15492625254.0,Health Care,Industrial Specialties
ALGR,Allegro Merger Corp.,158729391.1,Consumer Services,Restaurants
ALGRR,Allegro Merger Corp.,0.0,Consumer Services,Restaurants
ALGRU,Allegro Merger Corp.,0.0,Consumer Services,Restaurants
ALGRW,Allegro Merger Corp.,0.0,Consumer Services,Restaurants
ALGT,Allegiant Travel Company,1178505168.0,Transportation,Air Freight/Delivery Services
ALIM,"Alimera Sciences, Inc.",26269870.21,Health Care,Major Pharmaceuticals
ALJJ,"ALJ Regional Holdings, Inc.",21090612.78,Miscellaneous,Business Services
ALK,"Alaska Air Group, Inc.",3583148764.0,Transportation,Air Freight/Delivery Services
ALKS,Alkermes plc,2632383744.0,Health Care,Major Pharmaceuticals
ALL,Allstate Corporation (The),32501157963.0,Finance,Property-Casualty Insurers
ALLE,Allegion plc,8699819042.0,Consumer Services,Diversified Commercial Services
ALLK,Allakos Inc.,3194182891.0,Health Care,Major Pharmaceuticals
ALLO,"Allogene Therapeutics, Inc.",3483654696.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Allot Ltd.,361432022.2,Technology,Computer Communications Equipment
ALLY,Ally Financial Inc.,5634625019.0,Finance,Major Banks
ALNA,"Allena Pharmaceuticals, Inc.",39092590.68,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALNY,"Alnylam Pharmaceuticals, Inc.",16520376052.0,Health Care,Major Pharmaceuticals
ALO,Alio Gold Inc.,52687842.95,Basic Industries,Precious Metals
ALOT,"AstroNova, Inc.",39388350.0,Technology,Computer peripheral equipment
ALPN,"Alpine Immune Sciences, Inc.",60410649.0,Health Care,Major Pharmaceuticals
ALRM,"Alarm.com Holdings, Inc.",2153168683.0,Technology,Computer Software: Prepackaged Software
ALRN,"Aileron Therapeutics, Inc.",15156645.11,Health Care,Major Pharmaceuticals
ALRS,Alerus Financial Corporation,269585327.7,Finance,Major Banks
ALSK,"Alaska Communications Systems Group, Inc.",103515250.8,Public Utilities,Telecommunications Equipment
ALSN,"Allison Transmission Holdings, Inc.",3926261538.0,Capital Goods,Auto Parts:O.E.M.
ALT,"Altimmune, Inc.",49618161.8,Health Care,Major Pharmaceuticals
ALTG,Alta Equipment Group Inc.,135752251.4,Capital Goods,Industrial Machinery/Components
ALTM,Altus Midstream Company,188458996.9,Public Utilities,Natural Gas Distribution
ALTR,Altair Engineering Inc.,2245250984.0,Technology,Computer Software: Prepackaged Software
ALUS,Alussa Energy Acquisition Corp.,347515625.0,Finance,Business Services
ALV,"Autoliv, Inc.",4839025675.0,Capital Goods,Auto Parts:O.E.M.
ALX,"Alexander&#39;s, Inc.",1465996522.0,Consumer Services,Real Estate Investment Trusts
ALXN,"Alexion Pharmaceuticals, Inc.",23702512000.0,Health Care,Major Pharmaceuticals
ALYA,Alithya Group inc.,90610068.74,Technology,"Computer Software: Programming, Data Processing"
AM,Antero Midstream Corporation,2013791616.0,Public Utilities,Natural Gas Distribution
AMAG,"AMAG Pharmaceuticals, Inc.",280293736.8,Health Care,Major Pharmaceuticals
AMAL,Amalgamated Bank,286990775.7,Consumer Non-Durables,Textiles
AMAT,"Applied Materials, Inc.",46493787922.0,Technology,Semiconductors
AMBA,"Ambarella, Inc.",1711453706.0,Technology,Semiconductors
AMBC,"Ambac Financial Group, Inc.",692636618.0,Finance,Property-Casualty Insurers
AMBC,"Ambac Financial Group, Inc.",692636618.0,Finance,Property-Casualty Insurers
AMBO,Ambow Education Holding Ltd.,41989510.39,Consumer Services,Other Consumer Services
AMC,"AMC Entertainment Holdings, Inc.",331490472.7,Consumer Services,Movies/Entertainment
AMCI,AMCI Acquisition Corp.,280888328.2,Finance,Business Services
AMCIU,AMCI Acquisition Corp.,0.0,Finance,Business Services
AMCIW,AMCI Acquisition Corp.,0.0,Finance,Business Services
AMCR,Amcor plc,13858968473.0,Consumer Durables,Miscellaneous manufacturing industries
AMCX,AMC Networks Inc.,1337951550.0,Consumer Services,Television Services
AMD,"Advanced Micro Devices, Inc.",66703455360.0,Technology,Semiconductors
AME,"AMTEK, Inc.",17819533541.0,Consumer Durables,Metal Fabrications
AMED,Amedisys Inc,6321584494.0,Health Care,Medical/Nursing Services
AMEH,"Apollo Medical Holdings, Inc.",490240379.0,Consumer Services,Professional Services
AMG,"Affiliated Managers Group, Inc.",2945303580.0,Finance,Investment Managers
AMGN,Amgen Inc.,139065000000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,American Homes 4 Rent,7005561587.0,Consumer Services,Real Estate Investment Trusts
AMHC,Amplitude Healthcare Acquisition Corporation,121312500.0,Finance,Business Services
AMHCU,Amplitude Healthcare Acquisition Corporation,0.0,Finance,Business Services
AMHCW,Amplitude Healthcare Acquisition Corporation,0.0,Finance,Business Services
AMK,"AssetMark Financial Holdings, Inc.",1532497994.0,Finance,Investment Managers
AMKR,"Amkor Technology, Inc.",2225808150.0,Technology,Semiconductors
AMN,AMN Healthcare Services Inc,2583085498.0,Technology,Professional Services
AMNB,"American National Bankshares, Inc.",235915018.1,Finance,Major Banks
AMOT,"Allied Motion Technologies, Inc.",262539572.1,Capital Goods,Electrical Products
AMOV,"America Movil, S.A.B. de C.V.",35699413622.0,Public Utilities,Telecommunications Equipment
AMOV,"America Movil, S.A.B. de C.V.",35699413622.0,Public Utilities,Telecommunications Equipment
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",13540069243.0,Finance,Investment Managers
AMPE,"Ampio Pharmaceuticals, Inc.",88726400.78,Health Care,Major Pharmaceuticals
AMPH,"Amphastar Pharmaceuticals, Inc.",767977335.6,Health Care,Major Pharmaceuticals
AMPY,"MIDSTATES PETROLEUM COMPANY, INC.",27595697.11,Energy,Oil & Gas Production
AMRB,American River Bankshares,58591912.5,Finance,Major Banks
AMRC,"Ameresco, Inc.",807835734.8,Basic Industries,Engineering & Construction
AMRH,"Ameri Holdings, Inc.",3636309.6,Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",0.0,Technology,Semiconductors
AMRK,"A-Mark Precious Metals, Inc.",96541808.5,Basic Industries,Other Specialty Stores
AMRN,Amarin Corporation plc,2381347779.0,Health Care,Major Pharmaceuticals
AMRS,"Amyris, Inc.",385032006.5,Basic Industries,Major Chemicals
AMRX,"Amneal Pharmaceuticals, Inc.",1028764103.0,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services,9307200.0,Health Care,Medical Specialities
AMSC,American Superconductor Corporation,120903043.7,Consumer Durables,Metal Fabrications
AMSF,"AMERISAFE, Inc.",1214132471.0,Finance,Property-Casualty Insurers
AMSWA,"American Software, Inc.",469009086.8,Technology,Computer Software: Prepackaged Software
AMT,American Tower Corporation (REIT),110278000000.0,Consumer Services,Real Estate Investment Trusts
AMTB,Amerant Bancorp Inc.,512895045.6,Finance,Major Banks
AMTBB,Amerant Bancorp Inc.,379922256.0,Finance,Major Banks
AMTD,TD Ameritrade Holding Corporation,20528365147.0,Finance,Investment Bankers/Brokers/Service
AMTX,"Aemetis, Inc",11515750.48,Basic Industries,Major Chemicals
AMWD,American Woodmark Corporation,751480966.8,Basic Industries,Forest Products
AMX,"America Movil, S.A.B. de C.V.",36034015192.0,Public Utilities,Telecommunications Equipment
AMZN,"Amazon.com, Inc.",1193270000000.0,Consumer Services,Catalog/Specialty Distribution
AN,"AutoNation, Inc.",2704812321.0,Consumer Durables,Automotive Aftermarket
ANAB,"AnaptysBio, Inc.",468144548.5,Health Care,Major Pharmaceuticals
ANAT,American National Insurance Company,1998525576.0,Finance,Life Insurance
ANCN,Anchiano Therapeutics Ltd.,5918535.2,Health Care,Major Pharmaceuticals
ANDA,Andina Acquisition Corp. III,141460826.5,Finance,Business Services
ANDAR,Andina Acquisition Corp. III,0.0,Finance,Business Services
ANDAU,Andina Acquisition Corp. III,0.0,Finance,Business Services
ANDAW,Andina Acquisition Corp. III,0.0,Finance,Business Services
ANDE,"The Andersons, Inc.",496952761.5,Consumer Services,Farming/Seeds/Milling
ANET,"Arista Networks, Inc.",16038896505.0,Technology,Computer Communications Equipment
ANF,Abercrombie & Fitch Company,634456031.9,Consumer Services,Clothing/Shoe/Accessory Stores
ANGI,ANGI Homeservices Inc.,2966725244.0,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",388255997.1,Health Care,Medical/Dental Instruments
ANH,Anworth Mortgage Asset  Corporation,124638728.8,Consumer Services,Real Estate Investment Trusts
ANIK,Anika Therapeutics Inc.,463437896.8,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",528367808.8,Health Care,Major Pharmaceuticals
ANIX,"Anixa Biosciences, Inc.",42224224.77,Health Care,Medical Specialities
ANPC,"AnPac Bio-Medical Science Co., Ltd.",13865277.3,Health Care,Medical Specialities
ANSS,"ANSYS, Inc.",22826000020.0,Technology,Computer Software: Prepackaged Software
ANTE,AirNet Technology Inc.,6776661.75,Technology,Advertising
ANTM,"Anthem, Inc.",66362521042.0,Health Care,Medical Specialities
ANVS,"Annovis Bio, Inc.",25670471.25,Health Care,Major Pharmaceuticals
ANY,Sphere 3D Corp.,2780997.7,Technology,EDP Services
AOBC,American Outdoor Brands Corporation,486803745.5,Capital Goods,Ordnance And Accessories
AON,Aon plc,42952327694.0,Finance,Specialty Insurers
AOS,A.O Smith Corporation,6536906996.0,Consumer Durables,Consumer Electronics/Appliances
AOSL,Alpha and Omega Semiconductor Limited,214616406.7,Technology,Semiconductors
AP,Ampco-Pittsburgh Corporation,40255123.92,Capital Goods,Fluid Controls
APA,Apache Corporation,3200502698.0,Energy,Oil & Gas Production
APAM,Artisan Partners Asset Management Inc.,1756495954.0,Finance,Investment Managers
APD,"Air Products and Chemicals, Inc.",47306846186.0,Basic Industries,Major Chemicals
APDN,"Applied DNA Sciences, Inc.",18925716.57,Consumer Services,Other Consumer Services
APEI,"American Public Education, Inc.",359077230.8,Consumer Services,Other Consumer Services
APEN,"Apollo Endosurgery, Inc.",46456872.0,Health Care,Medical/Dental Instruments
APEX,Apex Global Brands Inc.,3008086.2,Consumer Non-Durables,Apparel
APH,Amphenol Corporation,24037426075.0,Capital Goods,Electrical Products
APHA,Aphria Inc.,919348472.7,Consumer Durables,Specialty Chemicals
APLE,"Apple Hospitality REIT, Inc.",1815567869.0,Consumer Services,Real Estate Investment Trusts
APLS,"Apellis Pharmaceuticals, Inc.",2692742588.0,Health Care,Major Pharmaceuticals
APLT,"Applied Therapeutics, Inc.",873498453.5,Health Care,Major Pharmaceuticals
APM,Aptorum Group Limited,103313984.4,Health Care,Major Pharmaceuticals
